DATA;ANO;TRIMESTRE;MES;DIRECAO;CONSIGNEE;CONSIGNEE_CNPJ;CONSIGNEE_TYPE;Classificacao Forwarder;FORWARDER;FORWARDER_CNPJ;FORWARDER_TYPE;Classificacao Notify;NOTIFY;NOTIFY_CNPJ;NOTIFY_RAIZ_CNPJ;NOTIFY_TYPE;SHIPPER;SHIPPER_CNPJ;SHIPPER_TYPE;CARRIER;MERCADORIA_NCM2;MERCADORIA_NCM4;CONTAINER;ORIGEM_TRADELANE;ORIGEM_COUNTRY;ORIGEM_PORTO;DESTINO_TRADELANE;DESTINO_COUNTRY;DESTINO_PORTO;TEUS;Negocios Com Craft 12M
21/05/2025;2025;3;MAI;EXPO;Silveira da Paz Ltda.;98.463.150/0001-36;AGENTE;Z;da Luz;17.539.084/0001-39;AGENTE;Macedo;Macedo;48.375.206/0001-22;48.375.206;AGENTE;Carvalho e Filhos;83.146.952/0001-45;FORNECEDOR;COSCO;18 - DESCRIÇÃO NCM2;1829 - DESCRIÇÃO NCM4;DRY;AMERICA DO SUL;EUA;TAIPEI;AMERICA DO NORTE;ALEMANHA;ITAJAI;3.68;NAO
25/08/2024;2024;4;DEZ;IMPO;Porto Barros - EI;02.749.685/0001-07;AGENTE;Barbosa Pacheco - ME;Melo;08.497.631/0001-70;FORWARDER;Vasconcelos Borges e Filhos;Vasconcelos Borges e Filhos;63.508.947/0001-28;63.508.947;AGENTE;da Mata;36.984.127/0001-30;REAL DONO;EVERGREEN;14 - DESCRIÇÃO NCM2;1413 - DESCRIÇÃO NCM4;ISO;AMERICA DO NORTE;CHINA;TOKYO;AMERICA DO NORTE;BRAZIL;ITAJAI;2.89;NAO
27/10/2024;2024;4;AGO;EXPO;Costa e Filhos;52.416.839/0001-09;AGENTE;Freitas;Oliveira - EI;18.270.345/0001-20;AGENTE;Cassiano e Filhos;Cassiano e Filhos;19.708.654/0001-00;19.708.654;FORNECEDOR;Cirino Novaes - ME;17.854.392/0001-59;REAL DONO;MSC;49 - DESCRIÇÃO NCM2;4988 - DESCRIÇÃO NCM4;DRY;EUROPA;ALEMANHA;TOKYO;ECSA;EUA;MONTEVIDEU;4.69;NAO
22/10/2024;2024;1;MAI;EXPO;Pereira - ME;46.571.823/0001-78;FORNECEDOR;Novaes S/A;da Mata Ltda.;73.051.248/0001-55;AGENTE;Monteiro Moraes S/A;Monteiro Moraes S/A;76.245.189/0001-44;76.245.189;FORNECEDOR;Pimenta e Filhos;51.397.840/0001-70;FORNECEDOR;YANG MING;39 - DESCRIÇÃO NCM2;3938 - DESCRIÇÃO NCM4;ISO;OCEANIA;EUA;TAIPEI;EUROPA;EUA;RIO DE JANEIRO;0.82;SIM
23/06/2024;2024;1;JUN;IMPO;da Mota;30.148.257/0001-56;FORNECEDOR;Gonçalves Teixeira S/A;Carvalho;54.902.718/0001-00;AGENTE;Monteiro;Monteiro;37.056.248/0001-84;37.056.248;REAL DONO;Correia Ltda.;71.629.304/0001-60;FORNECEDOR;CMA CGM;26 - DESCRIÇÃO NCM2;2650 - DESCRIÇÃO NCM4;REF;AMERICA DO SUL;JAPAO;LOS ANGELES;ECSA;ARGENTINA;MONTEVIDEU;2.8;SIM
22/06/2024;2024;1;JUL;EXPO;Fernandes;92.703.146/0001-11;REAL DONO;Campos;da Mata Nogueira - ME;10.759.648/0001-08;NVOCC;Pastor Ferreira - ME;Pastor Ferreira - ME;04.386.259/0001-73;4.386.259;REAL DONO;Pinto;51.739.204/0001-80;FORNECEDOR;HAPAG-LLOYD;17 - DESCRIÇÃO NCM2;1746 - DESCRIÇÃO NCM4;REF;OCEANIA;COREIA DO SUL;BUSAN;ECSA;URUGUAI;SANTOS;4.75;NAO
03/01/2025;2025;4;OUT;EXPO;Moura;89.043.162/0001-10;FORNECEDOR;Guerra;Cirino Ltda.;06.912.735/0001-78;FORWARDER;BCO;Cardoso Moreira S/A;86.713.409/0001-70;86.713.409;REAL DONO;Viana Ltda.;87.035.962/0001-64;FORNECEDOR;CMA CGM;3 - DESCRIÇÃO NCM2;341 - DESCRIÇÃO NCM4;DRY;AMERICA DO SUL;CHINA;LOS ANGELES;EUROPA;ARGENTINA;SANTOS;4.12;SIM
16/06/2024;2024;2;MAR;IMPO;Carvalho S/A;50.287.314/0001-95;FORNECEDOR;Martins Caldeira - ME;Rocha S/A;71.925.084/0001-12;NVOCC;Dias;Dias;38.902.715/0001-02;38.902.715;AGENTE;Viana;31.654.702/0001-12;FORNECEDOR;EVERGREEN;95 - DESCRIÇÃO NCM2;9545 - DESCRIÇÃO NCM4;DRY;EUROPA;TAIWAN;HAMBURGO;EUROPA;BRAZIL;ITAJAI;2.44;NAO
09/01/2024;2024;4;DEZ;EXPO;Cavalcante S.A.;35.427.916/0001-07;FORNECEDOR;Z;Silva S.A.;78.941.365/0001-08;FORWARDER;Novais - ME;Novais - ME;84.931.076/0001-20;84.931.076;FORNECEDOR;Sousa;76.903.128/0001-27;FORNECEDOR;CMA CGM;22 - DESCRIÇÃO NCM2;2256 - DESCRIÇÃO NCM4;REF;FAR EAST / JAP / SE ASIA;JAPAO;TOKYO;ECSA;ALEMANHA;MONTEVIDEU;2.95;NAO
21/10/2024;2024;3;MAR;EXPO;Jesus;04.769.213/0001-33;AGENTE;Lima Ferreira - ME;Sales;92.614.380/0001-72;FORWARDER;Sá;Sá;35.204.681/0001-94;35.204.681;AGENTE;Santos;40.359.172/0001-70;REAL DONO;YANG MING;68 - DESCRIÇÃO NCM2;6851 - DESCRIÇÃO NCM4;REF;AMERICA DO SUL;TAIWAN;LOS ANGELES;ECSA;URUGUAI;SANTOS;0.65;NAO
30/06/2025;2025;4;JAN;EXPO;Mendonça e Filhos;63.487.912/0001-50;REAL DONO;da Luz S.A.;Teixeira Ltda.;97.068.523/0001-01;AGENTE;BCO;Aparecida Fernandes S.A.;32.586.947/0001-12;32.586.947;AGENTE;Cavalcante das Neves - ME;76.045.821/0001-06;REAL DONO;YANG MING;43 - DESCRIÇÃO NCM2;4320 - DESCRIÇÃO NCM4;OT;OCEANIA;EUA;SHANGHAI;AMERICA DO NORTE;ALEMANHA;ITAJAI;2.79;NAO
12/03/2025;2025;4;JAN;EXPO;Abreu;14.870.295/0001-61;AGENTE;Peixoto S/A;Abreu - EI;04.219.375/0001-06;FORWARDER;da Luz Vargas - ME;da Luz Vargas - ME;21.964.875/0001-83;21.964.875;FORNECEDOR;Nascimento;27.530.981/0001-35;REAL DONO;HAPAG-LLOYD;89 - DESCRIÇÃO NCM2;8921 - DESCRIÇÃO NCM4;OT;AMERICA DO SUL;EUA;TOKYO;ASIA;ALEMANHA;MONTEVIDEU;3.3;NAO
31/07/2024;2024;2;DEZ;IMPO;Rodrigues;81.976.420/0001-00;REAL DONO;Peixoto;Correia Ltda.;68.527.043/0001-63;NVOCC;BCO;Caldeira;95.276.380/0001-06;95.276.380;REAL DONO;Aragão;53.926.187/0001-15;FORNECEDOR;EVERGREEN;6 - DESCRIÇÃO NCM2;678 - DESCRIÇÃO NCM4;FR;OCEANIA;CHINA;TAIPEI;AMERICA DO NORTE;EUA;BUENOS AIRES;4.14;SIM
27/02/2025;2025;4;MAI;EXPO;Câmara;56.948.327/0001-44;REAL DONO;Casa Grande;Mendonça S/A;93.571.068/0001-01;AGENTE;Nogueira e Filhos;Nogueira e Filhos;58.476.902/0001-89;58.476.902;FORNECEDOR;Monteiro Fogaça S.A.;20.598.617/0001-68;FORNECEDOR;MSC;78 - DESCRIÇÃO NCM2;781 - DESCRIÇÃO NCM4;OT;FAR EAST / JAP / SE ASIA;ALEMANHA;SHANGHAI;ASIA;URUGUAI;ITAJAI;1.13;NAO
01/07/2024;2024;3;MAR;IMPO;Nogueira;70.361.928/0001-87;FORNECEDOR;Z;Aragão Aragão S.A.;23.715.960/0001-33;FORWARDER;Abreu Souza Ltda.;Abreu Souza Ltda.;80.962.417/0001-74;80.962.417;AGENTE;da Paz e Filhos;74.105.286/0001-06;FORNECEDOR;EVERGREEN;25 - DESCRIÇÃO NCM2;2565 - DESCRIÇÃO NCM4;FR;AMERICA DO NORTE;CHINA;TOKYO;AMERICA DO NORTE;URUGUAI;PARANAGUA;1.04;NAO
18/11/2024;2024;3;SET;IMPO;Viana Cunha S.A.;64.583.901/0001-36;AGENTE;Campos;Câmara S.A.;03.948.756/0001-55;AGENTE;Silva Barbosa - ME;Silva Barbosa - ME;87.634.925/0001-72;87.634.925;REAL DONO;Pacheco S/A;20.791.534/0001-90;FORNECEDOR;CMA CGM;71 - DESCRIÇÃO NCM2;7192 - DESCRIÇÃO NCM4;REF;AMERICA DO SUL;CHINA;BUSAN;EUROPA;BRAZIL;RIO DE JANEIRO;0.18;NAO
18/09/2024;2024;2;MAR;EXPO;Peixoto;78.513.920/0001-09;AGENTE;Almeida;Lopes;69.508.123/0001-34;NVOCC;BCO;Jesus;01.257.439/0001-67;1.257.439;FORNECEDOR;Rodrigues;08.927.654/0001-77;REAL DONO;YANG MING;88 - DESCRIÇÃO NCM2;8869 - DESCRIÇÃO NCM4;OT;AMERICA DO SUL;TAIWAN;TAIPEI;ASIA;EUA;ITAJAI;1.88;SIM
18/05/2024;2024;3;DEZ;IMPO;da Mota;53.694.281/0001-96;REAL DONO;Cassiano Almeida S/A;Carvalho;48.095.316/0001-30;FORWARDER;Freitas Duarte S/A;Freitas Duarte S/A;75.129.068/0001-74;75.129.068;REAL DONO;Correia - EI;43.196.780/0001-08;FORNECEDOR;YANG MING;15 - DESCRIÇÃO NCM2;1550 - DESCRIÇÃO NCM4;OT;FAR EAST / JAP / SE ASIA;ALEMANHA;LOS ANGELES;ECSA;ALEMANHA;MONTEVIDEU;3.24;SIM
07/05/2025;2025;3;JAN;EXPO;Freitas e Filhos;54.970.816/0001-77;FORNECEDOR;Cardoso Vargas S.A.;Campos;95.263.084/0001-62;NVOCC;BCO;Castro;02.615.947/0001-32;2.615.947;AGENTE;Pereira e Filhos;19.340.785/0001-70;FORNECEDOR;YANG MING;18 - DESCRIÇÃO NCM2;1831 - DESCRIÇÃO NCM4;REF;EUROPA;CHINA;TOKYO;EUROPA;ARGENTINA;BUENOS AIRES;0.66;NAO
26/07/2024;2024;4;JUN;EXPO;Moraes;58.236.917/0001-70;AGENTE;Moura;Pinto S/A;02.189.456/0001-77;NVOCC;BCO;Sales;75.102.436/0001-90;75.102.436;FORNECEDOR;Aragão;60.213.859/0001-00;FORNECEDOR;ONE;29 - DESCRIÇÃO NCM2;2933 - DESCRIÇÃO NCM4;REF;AMERICA DO SUL;ITALIA;TOKYO;EUROPA;ALEMANHA;SANTOS;0.55;NAO
25/01/2024;2024;2;DEZ;EXPO;da Mata;92.847.065/0001-95;REAL DONO;Barros - EI;Dias - EI;28.594.761/0001-38;FORWARDER;BCO;Rodrigues;89.127.534/0001-97;89.127.534;FORNECEDOR;Vieira Cavalcante - ME;64.025.983/0001-01;FORNECEDOR;COSCO;72 - DESCRIÇÃO NCM2;7296 - DESCRIÇÃO NCM4;FR;AMERICA DO NORTE;JAPAO;NINGBO;AMERICA DO NORTE;BRAZIL;BUENOS AIRES;3.59;NAO
12/08/2024;2024;3;NOV;EXPO;Vieira;50.796.381/0001-35;FORNECEDOR;da Costa;Nascimento Peixoto S/A;05.942.736/0001-00;FORWARDER;da Cruz S/A;da Cruz S/A;62.451.793/0001-12;62.451.793;FORNECEDOR;Leão;64.798.315/0001-09;REAL DONO;COSCO;96 - DESCRIÇÃO NCM2;9636 - DESCRIÇÃO NCM4;REF;EUROPA;COREIA DO SUL;HAMBURGO;ECSA;ARGENTINA;BUENOS AIRES;2.68;SIM
28/06/2025;2025;1;FEV;EXPO;Duarte;93.745.620/0001-30;FORNECEDOR;Araújo;Sales S.A.;41.652.798/0001-33;FORWARDER;Santos;Santos;96.342.715/0001-00;96.342.715;REAL DONO;Fernandes Andrade - EI;30.957.184/0001-43;FORNECEDOR;MAERSK LINE;59 - DESCRIÇÃO NCM2;5945 - DESCRIÇÃO NCM4;FR;AMERICA DO SUL;ITALIA;BUSAN;ECSA;BRAZIL;BUENOS AIRES;0.98;NAO
01/10/2024;2024;3;FEV;EXPO;da Paz;54.632.801/0001-07;FORNECEDOR;da Paz Vieira - EI;Cardoso Duarte - EI;26.389.150/0001-22;NVOCC;Silva;Silva;97.814.325/0001-40;97.814.325;REAL DONO;Carvalho Sá Ltda.;93.710.254/0001-84;REAL DONO;CMA CGM;55 - DESCRIÇÃO NCM2;5514 - DESCRIÇÃO NCM4;ISO;AMERICA DO NORTE;ITALIA;BUSAN;ASIA;URUGUAI;MONTEVIDEU;1.37;NAO
28/03/2025;2025;4;OUT;EXPO;Peixoto da Cunha Ltda.;48.126.970/0001-64;REAL DONO;Fogaça;Monteiro;12.650.749/0001-63;AGENTE;da Mata;da Mata;48.170.352/0001-11;48.170.352;AGENTE;Porto;51.970.684/0001-95;FORNECEDOR;ONE;47 - DESCRIÇÃO NCM2;474 - DESCRIÇÃO NCM4;FR;OCEANIA;JAPAO;LOS ANGELES;ASIA;BRAZIL;SANTOS;2.73;SIM
02/07/2024;2024;3;NOV;EXPO;Castro Borges S/A;06.819.735/0001-28;AGENTE;Aparecida da Mota - ME;Sousa;69.283.407/0001-70;NVOCC;BCO;Souza - EI;02.758.394/0001-77;2.758.394;FORNECEDOR;Nogueira da Mata Ltda.;37.615.240/0001-00;REAL DONO;ONE;5 - DESCRIÇÃO NCM2;573 - DESCRIÇÃO NCM4;ISO;FAR EAST / JAP / SE ASIA;ITALIA;HAMBURGO;EUROPA;ARGENTINA;RIO DE JANEIRO;1.12;NAO
24/12/2024;2024;1;JUN;IMPO;Leão;53.261.078/0001-26;AGENTE;Andrade;Ferreira e Filhos;73.652.048/0001-58;AGENTE;Abreu;Abreu;19.438.025/0001-08;19.438.025;REAL DONO;Moreira;45.961.870/0001-65;FORNECEDOR;YANG MING;43 - DESCRIÇÃO NCM2;4326 - DESCRIÇÃO NCM4;FR;AMERICA DO NORTE;CHINA;SHANGHAI;AMERICA DO NORTE;BRAZIL;ITAJAI;4.87;NAO
12/05/2025;2025;3;AGO;IMPO;Pinto S/A;47.601.852/0001-06;REAL DONO;Moreira;Pinto S/A;63.541.892/0001-58;AGENTE;Sales Fogaça S/A;Sales Fogaça S/A;71.820.645/0001-19;71.820.645;FORNECEDOR;Siqueira e Filhos;97.324.105/0001-38;REAL DONO;ONE;50 - DESCRIÇÃO NCM2;5074 - DESCRIÇÃO NCM4;FR;EUROPA;COREIA DO SUL;TOKYO;AMERICA DO NORTE;URUGUAI;ITAJAI;3.89;SIM
01/01/2024;2024;4;JUL;EXPO;Alves;97.286.410/0001-82;FORNECEDOR;Pires S.A.;Andrade Sales Ltda.;78.640.153/0001-90;AGENTE;BCO;Pimenta;16.954.078/0001-85;16.954.078;FORNECEDOR;Cassiano Machado S.A.;25.764.130/0001-21;REAL DONO;EVERGREEN;79 - DESCRIÇÃO NCM2;7998 - DESCRIÇÃO NCM4;OT;AMERICA DO NORTE;CHINA;TOKYO;ASIA;ARGENTINA;MONTEVIDEU;2.38;SIM
04/04/2024;2024;3;NOV;IMPO;Sampaio da Rocha - EI;27.863.145/0001-72;FORNECEDOR;da Luz;Ferreira Albuquerque S/A;80.693.427/0001-51;FORWARDER;BCO;Farias;82.619.037/0001-67;82.619.037;REAL DONO;Rocha;18.352.069/0001-40;FORNECEDOR;CMA CGM;44 - DESCRIÇÃO NCM2;4466 - DESCRIÇÃO NCM4;ISO;OCEANIA;JAPAO;LOS ANGELES;AMERICA DO NORTE;URUGUAI;PARANAGUA;2.56;NAO
19/02/2024;2024;2;JUL;IMPO;Casa Grande S.A.;75.318.490/0001-78;FORNECEDOR;Cassiano;da Cunha Brito - ME;95.108.732/0001-06;FORWARDER;Cavalcanti - EI;Cavalcanti - EI;10.752.948/0001-57;10.752.948;REAL DONO;Aragão;69.732.508/0001-80;REAL DONO;CMA CGM;7 - DESCRIÇÃO NCM2;783 - DESCRIÇÃO NCM4;DRY;OCEANIA;ITALIA;NINGBO;EUROPA;BRAZIL;ITAJAI;3.47;SIM
29/05/2024;2024;4;NOV;IMPO;Lopes;63.297.850/0001-13;FORNECEDOR;da Rocha Azevedo e Filhos;Araújo - ME;47.051.962/0001-33;NVOCC;Castro;Castro;38.520.679/0001-12;38.520.679;REAL DONO;Sousa;07.891.342/0001-98;REAL DONO;EVERGREEN;10 - DESCRIÇÃO NCM2;1037 - DESCRIÇÃO NCM4;OT;AMERICA DO SUL;EUA;TAIPEI;EUROPA;BRAZIL;ITAJAI;2.91;SIM
19/05/2025;2025;4;JUN;IMPO;Araújo e Filhos;48.506.372/0001-10;AGENTE;Jesus;Azevedo Ltda.;06.439.215/0001-90;AGENTE;Leão - EI;Leão - EI;86.395.214/0001-20;86.395.214;AGENTE;Leão Martins S.A.;24.638.590/0001-40;FORNECEDOR;MSC;23 - DESCRIÇÃO NCM2;2317 - DESCRIÇÃO NCM4;ISO;OCEANIA;CHINA;HAMBURGO;EUROPA;EUA;ITAJAI;1.35;SIM
31/07/2025;2025;3;NOV;IMPO;Novais Casa Grande e Filhos;30.971.854/0001-86;FORNECEDOR;Sá S.A.;Cavalcante;86.795.234/0001-98;FORWARDER;Martins Albuquerque - EI;Martins Albuquerque - EI;81.327.695/0001-12;81.327.695;FORNECEDOR;Siqueira Leão S.A.;18.063.275/0001-30;REAL DONO;HAPAG-LLOYD;86 - DESCRIÇÃO NCM2;8667 - DESCRIÇÃO NCM4;ISO;FAR EAST / JAP / SE ASIA;JAPAO;LOS ANGELES;EUROPA;BRAZIL;PARANAGUA;4.78;SIM
22/06/2025;2025;4;FEV;EXPO;da Cunha Pires e Filhos;49.023.158/0001-76;AGENTE;da Paz - ME;Casa Grande;97.086.421/0001-19;NVOCC;Casa Grande;Casa Grande;18.942.537/0001-36;18.942.537;REAL DONO;Costa Ltda.;89.146.702/0001-91;FORNECEDOR;HAPAG-LLOYD;76 - DESCRIÇÃO NCM2;7678 - DESCRIÇÃO NCM4;OT;OCEANIA;JAPAO;NINGBO;ECSA;ALEMANHA;MONTEVIDEU;4.81;SIM
04/10/2024;2024;2;DEZ;IMPO;Cavalcanti;84.125.703/0001-36;AGENTE;Machado;Silva;76.013.495/0001-55;NVOCC;Cardoso;Cardoso;15.908.342/0001-81;15.908.342;FORNECEDOR;Nascimento Montenegro Ltda.;27.463.819/0001-41;REAL DONO;MAERSK LINE;66 - DESCRIÇÃO NCM2;6627 - DESCRIÇÃO NCM4;DRY;AMERICA DO NORTE;JAPAO;HAMBURGO;ECSA;BRAZIL;SANTOS;4.35;NAO
17/11/2024;2024;1;JUL;EXPO;Vargas;73.018.264/0001-46;REAL DONO;Pinto - ME;das Neves - EI;15.863.072/0001-30;NVOCC;Pereira;Pereira;42.179.563/0001-39;42.179.563;AGENTE;da Conceição S.A.;34.128.509/0001-36;FORNECEDOR;COSCO;51 - DESCRIÇÃO NCM2;5166 - DESCRIÇÃO NCM4;FR;AMERICA DO SUL;TAIWAN;LOS ANGELES;ECSA;BRAZIL;BUENOS AIRES;3.73;NAO
21/09/2024;2024;3;OUT;EXPO;Pires;45.987.260/0001-30;AGENTE;Borges - ME;Pacheco - EI;81.539.047/0001-20;AGENTE;Rocha - EI;Rocha - EI;54.280.369/0001-24;54.280.369;FORNECEDOR;da Mota;64.207.315/0001-97;FORNECEDOR;MSC;88 - DESCRIÇÃO NCM2;8838 - DESCRIÇÃO NCM4;REF;FAR EAST / JAP / SE ASIA;JAPAO;LOS ANGELES;EUROPA;ARGENTINA;SANTOS;3.56;SIM
10/02/2025;2025;2;JUL;IMPO;Montenegro Vieira S/A;86.150.329/0001-54;FORNECEDOR;Araújo;Sales S/A;93.405.762/0001-59;AGENTE;BCO;Gomes - ME;46.973.152/0001-71;46.973.152;REAL DONO;Sá Teixeira e Filhos;74.819.026/0001-00;FORNECEDOR;MAERSK LINE;89 - DESCRIÇÃO NCM2;8946 - DESCRIÇÃO NCM4;OT;EUROPA;COREIA DO SUL;HAMBURGO;EUROPA;URUGUAI;SANTOS;1.72;SIM
28/01/2024;2024;3;NOV;IMPO;Monteiro;03.645.871/0001-50;AGENTE;Z;Alves Pires Ltda.;85.413.067/0001-00;FORWARDER;Souza S/A;Souza S/A;26.047.893/0001-14;26.047.893;AGENTE;Abreu S.A.;20.769.584/0001-71;REAL DONO;COSCO;45 - DESCRIÇÃO NCM2;4561 - DESCRIÇÃO NCM4;OT;EUROPA;JAPAO;SHANGHAI;EUROPA;EUA;SANTOS;3.97;NAO
10/07/2024;2024;4;DEZ;IMPO;Barbosa Cassiano Ltda.;31.204.869/0001-81;REAL DONO;Cirino S.A.;Aparecida;34.857.129/0001-32;NVOCC;Silveira;Silveira;09.465.178/0001-82;9.465.178;AGENTE;Correia - ME;27.015.983/0001-96;REAL DONO;COSCO;88 - DESCRIÇÃO NCM2;8822 - DESCRIÇÃO NCM4;OT;AMERICA DO SUL;TAIWAN;SHANGHAI;EUROPA;ARGENTINA;RIO DE JANEIRO;0.9;SIM
13/06/2025;2025;4;MAR;EXPO;da Rosa;15.367.098/0001-97;AGENTE;Lima Abreu e Filhos;Barbosa S/A;51.627.834/0001-62;AGENTE;Monteiro S.A.;Monteiro S.A.;74.903.816/0001-61;74.903.816;REAL DONO;Gonçalves e Filhos;30.719.645/0001-40;FORNECEDOR;MAERSK LINE;77 - DESCRIÇÃO NCM2;7781 - DESCRIÇÃO NCM4;FR;AMERICA DO NORTE;JAPAO;HAMBURGO;ASIA;URUGUAI;SANTOS;4.89;NAO
02/04/2025;2025;2;SET;EXPO;Pastor da Mata - EI;15.438.609/0001-14;AGENTE;Z;Costa;24.315.908/0001-52;FORWARDER;Novaes Rocha S/A;Novaes Rocha S/A;58.073.641/0001-56;58.073.641;FORNECEDOR;Pires Almeida S/A;70.291.354/0001-18;FORNECEDOR;CMA CGM;45 - DESCRIÇÃO NCM2;4523 - DESCRIÇÃO NCM4;OT;AMERICA DO SUL;COREIA DO SUL;BUSAN;EUROPA;BRAZIL;MONTEVIDEU;1.79;NAO
11/03/2025;2025;1;JUL;EXPO;Novaes;34.768.901/0001-40;REAL DONO;Z;Vargas Souza - ME;82.473.596/0001-01;AGENTE;Caldeira;Caldeira;13.956.724/0001-55;13.956.724;REAL DONO;Pimenta;54.891.073/0001-40;FORNECEDOR;COSCO;9 - DESCRIÇÃO NCM2;989 - DESCRIÇÃO NCM4;DRY;FAR EAST / JAP / SE ASIA;JAPAO;TOKYO;EUROPA;EUA;ITAJAI;2.95;NAO
28/03/2025;2025;4;ABR;IMPO;Cirino Montenegro - ME;92.754.163/0001-88;FORNECEDOR;Ferreira;Peixoto S/A;74.821.956/0001-90;AGENTE;BCO;Costela S/A;71.952.804/0001-39;71.952.804;FORNECEDOR;das Neves;36.549.182/0001-00;FORNECEDOR;COSCO;7 - DESCRIÇÃO NCM2;781 - DESCRIÇÃO NCM4;ISO;EUROPA;TAIWAN;TAIPEI;EUROPA;BRAZIL;PARANAGUA;4.72;NAO
01/06/2024;2024;1;MAI;EXPO;Macedo;98.374.210/0001-44;AGENTE;Silva;Moreira S.A.;05.978.621/0001-68;AGENTE;Pacheco Lima Ltda.;Pacheco Lima Ltda.;59.431.607/0001-79;59.431.607;REAL DONO;Pacheco Martins e Filhos;64.712.093/0001-60;FORNECEDOR;HAPAG-LLOYD;94 - DESCRIÇÃO NCM2;9442 - DESCRIÇÃO NCM4;ISO;EUROPA;ITALIA;TAIPEI;EUROPA;BRAZIL;PARANAGUA;1.97;SIM
24/09/2024;2024;4;JUN;EXPO;Sales;97.805.126/0001-75;AGENTE;Barbosa S.A.;Araújo S/A;09.278.146/0001-78;NVOCC;Costela Ltda.;Costela Ltda.;13.402.567/0001-36;13.402.567;REAL DONO;Cunha S.A.;80.162.495/0001-94;FORNECEDOR;MSC;19 - DESCRIÇÃO NCM2;1929 - DESCRIÇÃO NCM4;OT;AMERICA DO NORTE;ITALIA;TOKYO;AMERICA DO NORTE;BRAZIL;SANTOS;1.62;NAO
30/06/2024;2024;2;JUN;EXPO;Jesus;31.760.289/0001-70;REAL DONO;Z;Cardoso Ltda.;95.632.740/0001-57;NVOCC;Campos;Campos;20.865.419/0001-13;20.865.419;REAL DONO;Pimenta;42.538.960/0001-50;REAL DONO;COSCO;50 - DESCRIÇÃO NCM2;5024 - DESCRIÇÃO NCM4;FR;OCEANIA;COREIA DO SUL;HAMBURGO;EUROPA;ALEMANHA;BUENOS AIRES;1.99;SIM
14/06/2025;2025;4;NOV;EXPO;Nunes Sá S/A;46.352.190/0001-07;FORNECEDOR;Souza;Cunha Moraes S.A.;62.143.089/0001-00;FORWARDER;Cavalcanti;Cavalcanti;31.097.426/0001-39;31.097.426;FORNECEDOR;Moreira;83.970.561/0001-40;FORNECEDOR;ONE;32 - DESCRIÇÃO NCM2;3280 - DESCRIÇÃO NCM4;FR;AMERICA DO SUL;TAIWAN;BUSAN;ASIA;EUA;RIO DE JANEIRO;1.23;NAO
21/04/2024;2024;3;FEV;IMPO;Gonçalves Aragão S/A;50.349.816/0001-01;AGENTE;Siqueira S/A;Machado S.A.;46.029.315/0001-62;NVOCC;BCO;Ferreira Moura S/A;58.624.013/0001-11;58.624.013;REAL DONO;Silva Sampaio S/A;07.265.431/0001-29;REAL DONO;HAPAG-LLOYD;12 - DESCRIÇÃO NCM2;1217 - DESCRIÇÃO NCM4;DRY;OCEANIA;COREIA DO SUL;SHANGHAI;AMERICA DO NORTE;EUA;SANTOS;2.36;NAO
17/06/2024;2024;2;JUL;EXPO;Cardoso - EI;76.034.289/0001-21;REAL DONO;Gonçalves Mendonça S.A.;Barros da Mata - ME;06.748.213/0001-82;NVOCC;Teixeira;Teixeira;70.382.569/0001-44;70.382.569;REAL DONO;da Cruz - ME;84.597.013/0001-80;FORNECEDOR;MSC;10 - DESCRIÇÃO NCM2;102 - DESCRIÇÃO NCM4;FR;EUROPA;JAPAO;SHANGHAI;AMERICA DO NORTE;URUGUAI;BUENOS AIRES;2.99;SIM
17/08/2024;2024;4;FEV;EXPO;Cavalcante Peixoto e Filhos;65.734.012/0001-95;AGENTE;Viana;Costa;03.925.486/0001-67;FORWARDER;BCO;Moura;36.572.849/0001-87;36.572.849;FORNECEDOR;Machado;57.816.094/0001-99;REAL DONO;HAPAG-LLOYD;70 - DESCRIÇÃO NCM2;7039 - DESCRIÇÃO NCM4;ISO;FAR EAST / JAP / SE ASIA;JAPAO;BUSAN;ECSA;EUA;ITAJAI;1.59;SIM
02/05/2025;2025;4;AGO;IMPO;Araújo S.A.;58.917.634/0001-93;AGENTE;Jesus S.A.;Montenegro;16.457.092/0001-73;AGENTE;das Neves;das Neves;35.187.906/0001-41;35.187.906;FORNECEDOR;Fernandes;13.502.786/0001-97;REAL DONO;CMA CGM;77 - DESCRIÇÃO NCM2;774 - DESCRIÇÃO NCM4;ISO;FAR EAST / JAP / SE ASIA;COREIA DO SUL;NINGBO;EUROPA;ARGENTINA;ITAJAI;4.21;NAO
08/05/2025;2025;4;AGO;IMPO;Vargas;13.967.824/0001-87;AGENTE;Marques;Pastor;25.671.049/0001-05;NVOCC;Aparecida S/A;Aparecida S/A;49.862.170/0001-74;49.862.170;FORNECEDOR;da Rosa;95.632.801/0001-86;REAL DONO;CMA CGM;18 - DESCRIÇÃO NCM2;1811 - DESCRIÇÃO NCM4;FR;EUROPA;TAIWAN;NINGBO;AMERICA DO NORTE;ALEMANHA;PARANAGUA;4.32;NAO
